,mean,std
best_val_loss,0.6547567388333148,0.015329713734218731
best_loss,0.6547567388333148,0.015329713734218731
best_accuracy,0.6099432038731735,0.04273562760076881
best_precision,0.6498137189007244,0.03333937368466883
best_recall,0.7626004527447652,0.06138836727398242
best_f1,0.7008165565766589,0.03836313062252189
best_roc_auc,0.6312759419179199,0.04633356280230109
best_stone_accuracy,0.6320055904961565,0.07618910011065544
best_stone_precision,0.6599125839960314,0.05992145729107079
best_stone_recall,0.7925403225806452,0.09757522978841622
best_stone_f1,0.7187270816213427,0.06842662077664138
best_stone_roc_auc,0.6424294791230275,0.04978954110447014
