,mean,std
best_val_loss,0.6456433772137,0.01918985025181621
best_loss,0.6456433772137,0.01918985025181621
best_accuracy,0.617655799035398,0.037635186656413806
best_precision,0.6220062922526087,0.05272438297061314
best_recall,0.7104402844381748,0.11147253497857944
best_f1,0.6570369109992849,0.04110423320905216
best_roc_auc,0.6870651149034588,0.04194209621004958
best_stone_accuracy,0.6498039215686274,0.051123479438926395
best_stone_precision,0.6542101453113689,0.06767042510384824
best_stone_recall,0.7310541310541311,0.1183725542108861
best_stone_f1,0.6837809654885124,0.05175221828245943
best_stone_roc_auc,0.7094487179487181,0.0505455771404672
