,mean,std
best_val_loss,1.2621154873129314,0.1415686697763344
best_loss,1.2621154873129314,0.1415686697763344
best_accuracy,0.5207010710808179,0.06990794495273543
best_macro_f1,0.4345065062256325,0.07752890722265958
best_stone_accuracy,0.5508708272859216,0.08899775097466243
best_stone_macro_f1,0.4835876032672058,0.10668526850268806
best_stone_f1_CaOx,0.7061486962649753,0.04427251018970808
best_stone_f1_CHP,0.4023809523809524,0.13051876260634043
best_stone_f1_UA,0.4601909184726522,0.1673298516599472
best_stone_f1_MAP,0.2204761904761905,0.14904837973333954
best_stone_f1_CYS,0.6287412587412587,0.24636488688399527
