,mean,std
best_val_loss,0.6905718403733829,0.025274278544312228
best_loss,0.6905718403733829,0.025274278544312228
best_accuracy,0.5718592499372294,0.04153792689235825
best_precision,0.6052263284211549,0.021894246335822955
best_recall,0.8105030673353134,0.12839414441305672
best_f1,0.6896330877559316,0.05792309511617571
best_roc_auc,0.537792296454643,0.03725553303089383
best_stone_accuracy,0.6015373864430469,0.04248524211828685
best_stone_precision,0.6225408432147563,0.021916570778780637
best_stone_recall,0.847983870967742,0.12716684926005054
best_stone_f1,0.7146489993746091,0.051276318738334034
best_stone_roc_auc,0.556100754084625,0.04227004225939179
