,mean,std
best_val_loss,0.740521622707192,0.06486433753248737
best_loss,0.740521622707192,0.06486433753248737
best_img_mae_overall,0.12504842430353164,0.008330840346257515
best_img_mae_CaOx,0.26020302176475524,0.02929628284224846
best_img_mae_CHP,0.21576966643333434,0.017165666666771127
best_img_mae_UA,0.10483396798372269,0.017217344337227415
best_img_mae_MAP,0.05998123958706856,0.015451911365380528
best_img_mae_CYS,0.06605128347873687,0.019246437731387955
best_img_mae_OTH,0.043451376259326935,0.009114491497418588
best_img_dominant_acc,0.6433739098737583,0.03414867560492385
best_img_aitchison,11.402529907226562,0.3708020796809567
best_stone_mae_overall,0.12114453762769699,0.009152054004210642
best_stone_mae_CaOx,0.2503219962120056,0.030697816022121596
best_stone_mae_CHP,0.20569871366024017,0.017157498327247295
best_stone_mae_UA,0.10328037291765213,0.015560576902045849
best_stone_mae_MAP,0.05914662554860115,0.015592998787367803
best_stone_mae_CYS,0.06515270844101906,0.019356725175259253
best_stone_mae_OTH,0.043266816064715385,0.008956930240840068
best_stone_dominant_acc,0.6990915443745632,0.06192791527180266
best_stone_aitchison,11.448457527160645,0.3478627412232483
