,mean,std
best_val_loss,0.6362851876373702,0.07814001511828703
best_loss,0.6362851876373702,0.07814001511828703
best_accuracy,0.6524361732332034,0.09705690703809694
best_precision,0.5277368309156805,0.11820064488643704
best_recall,0.5778888888888888,0.14144394256697207
best_f1,0.549638832003473,0.12543287595561928
best_roc_auc,0.6902625198950403,0.10723235449870112
best_stone_accuracy,0.6649932157394844,0.10331270273110621
best_stone_precision,0.5432992594611785,0.12278094888524031
best_stone_recall,0.5716666666666667,0.16518508138179763
best_stone_f1,0.5538803293388767,0.1373246606433187
best_stone_roc_auc,0.7181602787456447,0.1219219329610161
